gene_symbol	gene_ensg	gene_canon_transcript	gene_canon_protein
SCN5A	ENSG00000183873	ENST00000333535	ENSP00000328968
CAV3	ENSG00000182533	ENST00000343849	ENSP00000341940
ABCC9	ENSG00000069431	ENST00000261201	ENSP00000261201
TNNC1	ENSG00000114854	ENST00000232975	ENSP00000232975
ANKRD1	ENSG00000148677	ENST00000371697	ENSP00000360762
LMNA	ENSG00000160789	ENST00000368300	ENSP00000357283
DES	ENSG00000175084	ENST00000373960	ENSP00000363071
RBM20	ENSG00000203867	ENST00000369519	ENSP00000358532
VCL	ENSG00000035403	ENST00000211998	ENSP00000211998
ACTN2	ENSG00000077522	ENST00000366578	ENSP00000355537
MYH7	ENSG00000092054	ENST00000355349	ENSP00000347507
TNNT2	ENSG00000118194	ENST00000367318	ENSP00000356287
LDB3	ENSG00000122367	ENST00000361373	ENSP00000355296
CSRP3	ENSG00000129170	ENST00000533783	ENSP00000431813
TNNI3	ENSG00000129991	ENST00000344887	ENSP00000341838
MYBPC3	ENSG00000134571	ENST00000545968	ENSP00000442795
TPM1	ENSG00000140416	ENST00000403994	ENSP00000385107
ACTC1	ENSG00000159251	ENST00000290378	ENSP00000290378
TCAP	ENSG00000173991	ENST00000309889	ENSP00000312624
MYH6	ENSG00000197616	ENST00000356287	ENSP00000348634
PLN	ENSG00000198523	ENST00000357525	ENSP00000350132
TTN	ENSG00000155657	ENST00000589042	ENSP00000467141
MYLK2	ENSG00000101306	ENST00000375994	ENSP00000365162
MYL2	ENSG00000111245	ENST00000228841	ENSP00000228841
JPH2	ENSG00000149596	ENST00000372980	ENSP00000362071
MYL3	ENSG00000160808	ENST00000395869	ENSP00000379210
MYOZ2	ENSG00000172399	ENST00000307128	ENSP00000306997
DSG2	ENSG00000046604	ENST00000261590	ENSP00000261590
PKP2	ENSG00000057294	ENST00000070846	ENSP00000070846
DSP	ENSG00000096696	ENST00000379802	ENSP00000369129
DSC2	ENSG00000134755	ENST00000280904	ENSP00000280904
TMEM43	ENSG00000170876	ENST00000306077	ENSP00000303992
JUP	ENSG00000173801	ENST00000393930	ENSP00000377507
RYR2	ENSG00000198626	ENST00000366574	ENSP00000355533
CASQ2	ENSG00000118729	ENST00000261448	ENSP00000261448
CHRM2	ENSG00000181072	ENST00000445907	ENSP00000399745
CRYAB	ENSG00000109846	ENST00000526180	ENSP00000436051
CTF1	ENSG00000150281	ENST00000279804	ENSP00000279804
ILK	ENSG00000166333	ENST00000299421	ENSP00000299421
LAMA4	ENSG00000112769	ENST00000424408	ENSP00000416470
MYOM1	ENSG00000101605	ENST00000356443	ENSP00000348821
MYPN	ENSG00000138347	ENST00000358913	ENSP00000351790
NEBL	ENSG00000078114	ENST00000377122	ENSP00000366326
NEXN	ENSG00000162614	ENST00000334785	ENSP00000333938
RAF1	ENSG00000132155	ENST00000251849	ENSP00000251849
TTR	ENSG00000118271	ENST00000237014	ENSP00000237014
DMD	ENSG00000198947	ENST00000357033	ENSP00000354923
PRKAG2	ENSG00000106617	ENST00000287878	ENSP00000287878
SGCD	ENSG00000170624	ENST00000337851	ENSP00000338343
TAZ	ENSG00000102125	ENST00000299328	ENSP00000299328
GLA	ENSG00000102393	ENST00000218516	ENSP00000218516
PTPN11	ENSG00000179295	ENST00000351677	ENSP00000340944
BAG3	ENSG00000151929	ENST00000369085	ENSP00000358081
DTNA	ENSG00000134769	ENST00000348997	ENSP00000336682
EMD	ENSG00000102119	ENST00000369842	ENSP00000358857
FHL2	ENSG00000115641	ENST00000358129	ENSP00000350846
LAMP2	ENSG00000005893	ENST00000200639	ENSP00000200639
PDLIM3	ENSG00000154553	ENST00000284770	ENSP00000284770
DOLK	ENSG00000175283	ENST00000372586	ENSP00000361667
FHL1	ENSG00000022267	ENST00000370690	ENSP00000359724
MURC	ENSG00000170681	ENST00000307584	ENSP00000418668
TRDN	ENSG00000186439	ENST00000398178	ENSP00000381240
PRDM16	ENSG00000142611	ENST00000270722	ENSP00000270722
