gene_symbol	gene_ensg	gene_canon_transcript	gene_canon_protein
ACTC1	ENSG00000159251	ENST00000290378	ENSP00000290378
DES	ENSG00000175084	ENST00000373960	ENSP00000363071
GLA	ENSG00000102393	ENST00000218516	ENSP00000218516
LAMP2	ENSG00000005893	ENST00000200639	ENSP00000200639
LMNA	ENSG00000160789	ENST00000368300	ENSP00000357283
MYBPC3	ENSG00000134571	ENST00000545968	ENSP00000442795
MYH7	ENSG00000092054	ENST00000355349	ENSP00000347507
MYL2	ENSG00000111245	ENST00000228841	ENSP00000228841
MYL3	ENSG00000160808	ENST00000395869	ENSP00000379210
PLN	ENSG00000198523	ENST00000357525	ENSP00000350132
PRKAG2	ENSG00000106617	ENST00000287878	ENSP00000287878
PTPN11	ENSG00000179295	ENST00000351677	ENSP00000340944
SCN5A	ENSG00000183873	ENST00000333535	ENSP00000328968
TNNI3	ENSG00000129991	ENST00000344887	ENSP00000341838
TNNT2	ENSG00000118194	ENST00000367318	ENSP00000356287
TPM1	ENSG00000140416	ENST00000403994	ENSP00000385107
